title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
宝石公寓2室1厅73.24平米_上海宝石公寓二手房成交房源(上海链家),405,55298,长宁,古北,宝石公寓,2室1厅1厨1卫,中楼层(共6层),73.24㎡,平层,板楼,南,1991,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
济阳一村1室1厅43.18平米_上海济阳一村二手房成交房源(上海链家),218,50487,浦东,世博,济阳一村,1室1厅0厨1卫,中楼层(共6层),43.18㎡,平层,板楼,南,1989,简装,砖混结构,,一梯三户,无,商品房,普通住宅,暂无数据
临汾路1244弄2室1厅63.28平米_上海临汾路1244弄二手房成交房源(上海链家),350,55310,静安,彭浦,临汾路1244弄,2室1厅1厨1卫,中楼层(共6层),63.28㎡,暂无数据,板楼,南,1994,简装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
圣鑫苑2室2厅112.51平米_上海圣鑫苑二手房成交房源(上海链家),390,34664,浦东,周浦,圣鑫苑,2室2厅1厨1卫,低楼层(共18层),112.51㎡,平层,板楼,南,2008,其他,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
蒙自路395弄2室0厅48.9平米_上海蒙自路395弄二手房成交房源(上海链家),384,78426,黄浦,五里桥,蒙自路395弄,2室0厅1厨1卫,中楼层(共7层),48.9㎡,平层,板楼,东南南,1987,简装,钢混结构,,一梯八户,无,商品房,普通住宅,暂无数据
联鑫坊2室1厅81.1平米_上海联鑫坊二手房成交房源(上海链家),415,51172,浦东,高行,联鑫坊,2室1厅1厨1卫,低楼层(共6层),81.1㎡,暂无数据,板楼,南,2001,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
银春小区3室1厅75.59平米_上海银春小区二手房成交房源(上海链家),242,32015,闵行,颛桥,银春小区,3室1厅1厨1卫,低楼层(共6层),75.59㎡,平层,板楼,南,2004,毛坯,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
广洋苑3室2厅99.51平米_上海广洋苑二手房成交房源(上海链家),842,84615,浦东,金杨,广洋苑,3室2厅1厨2卫,低楼层(共6层),99.51㎡,平层,板楼,南北,2002,简装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
远景佳苑一期2室2厅89.49平米_上海远景佳苑一期二手房成交房源(上海链家),505,56431,宝山,大华,远景佳苑一期,2室2厅1厨1卫,高楼层(共6层),89.49㎡,暂无数据,板楼,南北,2001,精装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
中环一号(三期)2室2厅87.6平米_上海中环一号(三期)二手房成交房源(上海链家),506,57706,宝山,大华,中环一号(三期),2室2厅1厨1卫,低楼层(共18层),87.6㎡,平层,板楼,南,2014,精装,钢混结构,,两梯三户,有,商品房,普通住宅,暂无数据
虹霞小区1室1厅33.07平米_上海虹霞小区二手房成交房源(上海链家),193,58362,长宁,仙霞,虹霞小区,1室1厅0厨1卫,低楼层(共6层),33.07㎡,平层,板楼,南,1987,精装,砖混结构,,一梯三户,无,商品房,普通住宅,暂无数据
